"","Scenario","Year","Area"
"1","10800-3-m",2016,23399.7901973684
"2","10800-3-m",2024,23578.2562745098
"3","10800-60d",2016,21797.7496710526
"4","10800-60d",2024,22963.1124836601
"5","10800-b",2016,24551.0167763158
"6","10800-b",2024,24698.0367320261
"7","15000-3-m",2016,25319.0686842105
"8","15000-3-m",2024,25228.2341176471
"9","15000-60d",2016,23277.7767105263
"10","15000-60d",2024,23915.8673202614
"11","15000-b",2016,23104.3615131579
"12","15000-b",2024,23256.8970588235
"13","21000",2016,26638.9069078947
"14","21000",2024,26332.0007189542
"15","Noaction",2016,20486.2785526316
"16","Noaction",2024,20988.7368627451
"17","fallx2",2016,23093.9759868421
"18","fallx2",2024,24869.5020261438
