"Season","Year2","OUT","X2","CVP","SWP","Index","Yr-type","Action"
"Fall",2011,8278,80.8188524590164,4053.77049180328,5413.63934426229,10.54,"W","FallX2"
"Fall",2012,4575.13114754098,86.3167213114754,3201.98360655738,3006.62295081967,6.89,"BN",NA
"Fall",2013,5149.04918032787,86.0214754098361,1986.77049180328,1866.37704918033,5.83,"D",NA
"Fall",2014,3981.91803278689,87.6786885245902,1210.90163934426,1147.73770491803,4.07,"C",NA
"Fall",2015,6243.19672131148,85.0131147540984,2612.40983606557,1824.49180327869,4,"C",NA
"Fall",2016,7299.19672131148,79.5081967213115,4102.98360655738,3416.49180327869,6.71,"BN",NA
"Fall",2017,8906.2131147541,79.2673770491803,4064.68852459016,4566.01639344262,14.14,"W","FallX2"
"Fall",2018,9711.04918032787,78.2014754098361,2722.86885245902,3506.13114754098,7.14,"BN","Gates"
"Fall",2019,8331.65573770492,81.2740983606557,3610.67213114754,3119.19672131148,10.34,"W","FallX2"
"Fall",2020,8799.72131147541,86.9519672131148,2837.4262295082,1435.65573770492,6.13,"D",NA
"Fall",2021,3723.19672131148,88.955737704918,1584.7868852459,424.065573770492,3.86,"C",NA
"Fall",2022,3442.13333333333,89.2303333333333,2414.3,853.966666666667,4.5,"C",NA
"Fall",2023,9210.06666666667,79.0026666666667,3926.9,4467.63333333333,9.35,"W","FallX2+Gates"
"Spring",2011,78677.2826086956,55.1920652173913,2311.80434782609,2994.73913043478,10.54,"W","FallX2"
"Spring",2012,20046.5434782609,70.5909782608696,1440.0652173913,1507.17391304348,6.89,"BN",NA
"Spring",2013,10831.6195652174,75.4479347826087,1328.72826086957,1624.09782608696,5.83,"D",NA
"Spring",2014,8273.96739130435,80.0567391304348,2077.48913043478,1005.02173913043,4.07,"C",NA
"Spring",2015,6232.33695652174,81.1078260869565,988.934782608696,787.108695652174,4,"C",NA
"Spring",2016,32350.8695652174,66.4340217391304,1731.96739130435,1462.44565217391,6.71,"BN",NA
"Spring",2017,98739.6739130435,47.6669565217391,3342.85869565217,2150.39130434783,14.14,"W","FallX2"
"Spring",2018,27439.7717391304,67.8939130434783,2107.23913043478,2128.44565217391,7.14,"BN","Gates"
"Spring",2019,85507.5434782609,52.1025,1736.22826086957,2689.14130434783,10.34,"W","FallX2"
"Spring",2020,10242.0652173913,76.3501086956522,1829.72826086957,1062.08695652174,6.13,"D",NA
"Spring",2021,6742.95652173913,80.7125,741.228260869565,404.380434782609,3.86,"C",NA
"Spring",2022,7087.5,79.6978260869565,998.402173913043,559.75,4.5,"C",NA
"Spring",2023,74352.4673913044,56.1283695652174,3305.84782608696,5055.86956521739,9.35,"W","FallX2+Gates"
"Summer",2011,22643.0326086957,66.6559782608696,3984.0652173913,6874.01086956522,10.54,"W","FallX2"
"Summer",2012,6811.22826086957,79.9077173913043,3553.36956521739,4541.70652173913,6.89,"BN",NA
"Summer",2013,6123.96739130435,81.1613043478261,2774.17391304348,4372.34782608696,5.83,"D",NA
"Summer",2014,4291.21739130435,86.2796739130435,469.021739130435,1164.96739130435,4.07,"C",NA
"Summer",2015,4675.40217391304,84.9738043478261,398.978260869565,469.967391304348,4,"C",NA
"Summer",2016,7166.6847826087,79.0538043478261,1561.98913043478,5417.40217391304,6.71,"BN",NA
"Summer",2017,15871.097826087,69.1247826086957,4327.35869565217,6801.16304347826,14.14,"W","FallX2"
"Summer",2018,6568.33695652174,79.7151086956522,3619.39130434783,2778.64130434783,7.14,"BN","Gates"
"Summer",2019,17260.3695652174,69.5308695652174,4024.38043478261,5852.88043478261,10.34,"W","FallX2"
"Summer",2020,4987.35869565217,83.3446739130435,3584.61956521739,1807.85869565217,6.13,"D",NA
"Summer",2021,3405.27173913043,88.7054347826087,759.630434782609,300.771739130435,3.86,"C",NA
"Summer",2022,4500.25,85.4991304347826,2026.96739130435,509.032608695652,4.5,"C",NA
"Summer",2023,15074.4565217391,71.5441304347826,3919.08695652174,5810.65217391304,9.35,"W","FallX2+Gates"
"Winter",2011,20245.1083333333,71.77275,3609.125,5335.45833333333,10.54,"W","FallX2"
"Winter",2012,19434.5123966942,78.2531404958678,2778.82644628099,3203.79338842975,6.89,"BN",NA
"Winter",2013,11562.55,76.4374166666667,1724.03333333333,2003.73333333333,5.83,"D",NA
"Winter",2014,13830.2333333333,81.1535833333333,1191.81666666667,2179.28333333333,4.07,"C",NA
"Winter",2015,8938.18333333333,80.1024166666667,1221.1,2416.40833333333,4,"C",NA
"Winter",2016,22566.2314049587,74.6335537190083,2867.26446280992,3545.23140495868,6.71,"BN",NA
"Winter",2017,103982.808333333,65.3204166666667,3721.75833333333,5879.69166666667,14.14,"W","FallX2"
"Winter",2018,11666.2833333333,78.5651666666667,2930.075,2544.88333333333,7.14,"BN","Gates"
"Winter",2019,32907.4083333333,71.5455,3088.375,4249.94166666667,10.34,"W","FallX2"
"Winter",2020,9136.61983471074,79.5363636363636,2046.14049586777,1816.57024793388,6.13,"D",NA
"Winter",2021,10542.75,81.9393333333333,2017.70833333333,1772.10833333333,3.86,"C",NA
"Winter",2022,10408.1833333333,79.23,2001.75833333333,1206.89166666667,4.5,"C",NA
"Winter",2023,53781.0508474576,64.3264406779661,3737.76271186441,4840.1186440678,9.35,"W","FallX2+Gates"
