"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",19.8344239407201,1.21384071978618,16.34021961647,5.10686287676003e-60
"X2",-0.187861310415649,0.017899199703639,-10.4955145216608,9.05828542499138e-26
"RegionRiver",-8.77743042274643,1.20349014697177,-7.29331307350729,3.02424216092739e-13
"RegionSuisun Bay",-2.54538050360101,1.20310125263349,-2.115682697553,0.0343718031141844
"RegionSuisun Marsh",-3.89793753515735,1.33511088400773,-2.91956090078191,0.00350524896835408
"Salinity",0.0182911713987491,0.0519106675585954,0.352358624132554,0.724569327838332
"X2:RegionRiver",0.156346243998759,0.0182485828176979,8.56758278495636,1.05679884357807e-17
"X2:RegionSuisun Bay",0.0464776519474574,0.018323572522653,2.5364951015965,0.0111968309152892
"X2:RegionSuisun Marsh",0.0847435574832651,0.0200212750052258,4.23267536463816,2.30927722184227e-05
"RegionRiver:Salinity",-0.177826797486796,0.0538047566975168,-3.30503859512858,0.000949633220170686
"RegionSuisun Bay:Salinity",-0.0995336894481281,0.0551938349050476,-1.80334795759998,0.0713335853376473
"RegionSuisun Marsh:Salinity",-0.364409546777223,0.0569146971353342,-6.40273189736414,1.52621062061092e-10
